BIRIM;TARIH;SAAT;CIRO;  altin ;euro;dolar;temperature;special days
B;1.21.2011;15;1306.7;68589,6;21343;15769;9;0
B;1.21.2011;16;1316.22;68589,6;21343;15769;9;0
B;1.21.2011;17;1066.61;68589,6;21343;15769;9;0
B;1.21.2011;18;733.54;68589,6;21343;15769;9;0
B;1.21.2011;19;995.33;68589,6;21343;15769;9;0
B;1.21.2011;20;1249;68589,6;21343;15769;9;0
B;1.21.2011;21;838.64;68589,6;21343;15769;9;0
B;1.22.2011;10;54.7;68589,6;21343;15769;11;0
B;1.22.2011;11;61.08;68589,6;21343;15769;11;0
B;1.22.2011;12;2432.89;68589,6;21343;15769;11;0
B;1.22.2011;13;1373.54;68589,6;21343;15769;11;0
B;1.22.2011;14;2281.65;68589,6;21343;15769;11;0
B;1.22.2011;15;4892.58;68589,6;21343;15769;11;0
B;1.22.2011;16;3838.31;68589,6;21343;15769;11;0
B;1.22.2011;17;2159.8;68589,6;21343;15769;11;0
B;1.22.2011;18;1884.86;68589,6;21343;15769;11;0
B;1.22.2011;19;1116.4;68589,6;21343;15769;11;0
B;1.22.2011;20;1484.14;68589,6;21343;15769;11;0
B;1.22.2011;21;960.26;68589,6;21343;15769;11;0
B;1.23.2011;10;223.68;68589,6;21343;15769;9;0
B;1.23.2011;11;798.19;68589,6;21343;15769;9;0
B;1.23.2011;12;1656.75;68589,6;21343;15769;9;0
B;1.23.2011;13;2524.96;68589,6;21343;15769;9;0
B;1.23.2011;14;2164.8;68589,6;21343;15769;9;0
B;1.23.2011;15;2665.88;68589,6;21343;15769;9;0
B;1.23.2011;16;3661.49;68589,6;21343;15769;9;0
B;1.23.2011;17;6110.08;68589,6;21343;15769;9;0
B;1.23.2011;18;2501.12;68589,6;21343;15769;9;0
B;1.23.2011;19;2687.7;68589,6;21343;15769;9;0
B;1.23.2011;20;2108.24;68589,6;21343;15769;9;0
B;1.23.2011;21;1641.19;68589,6;21343;15769;9;0
B;1.24.2011;10;127.59;68303,4;21317;15711;6;0
B;1.24.2011;11;159.03;68303,4;21317;15711;6;0
B;1.24.2011;12;814.23;68303,4;21317;15711;6;0
B;1.24.2011;13;966.18;68303,4;21317;15711;6;0
B;1.24.2011;14;766.61;68303,4;21317;15711;6;0
B;1.24.2011;15;1160.35;68303,4;21317;15711;6;0
B;1.24.2011;16;1225.84;68303,4;21317;15711;6;0
B;1.24.2011;17;516.46;68303,4;21317;15711;6;0
B;1.24.2011;18;1922.43;68303,4;21317;15711;6;0
B;1.24.2011;19;845.92;68303,4;21317;15711;6;0
B;1.24.2011;20;1018.66;68303,4;21317;15711;6;0
B;1.24.2011;21;880.35;68303,4;21317;15711;6;0
B;1.25.2011;10;195.56;68155,28;21287;15627;4;0
B;1.25.2011;11;497.76;68155,28;21287;15627;4;0
B;1.25.2011;12;600.21;68155,28;21287;15627;4;0
B;1.25.2011;13;722.5;68155,28;21287;15627;4;0
B;1.25.2011;14;684.81;68155,28;21287;15627;4;0
B;1.25.2011;15;828.43;68155,28;21287;15627;4;0
B;1.25.2011;16;464.76;68155,28;21287;15627;4;0
B;1.25.2011;17;1247.9;68155,28;21287;15627;4;0
B;1.25.2011;18;754.84;68155,28;21287;15627;4;0
B;1.25.2011;19;1549.77;68155,28;21287;15627;4;0
B;1.25.2011;20;1353.16;68155,28;21287;15627;4;0
B;1.25.2011;21;1164.42;68155,28;21287;15627;4;0
B;1.26.2011;10;289.33;66896,13;21555;15736;4;0
B;1.26.2011;11;868.55;66896,13;21555;15736;4;0
B;1.26.2011;12;1385.56;66896,13;21555;15736;4;0
B;1.26.2011;13;2174.02;66896,13;21555;15736;4;0
B;1.26.2011;14;562.22;66896,13;21555;15736;4;0
B;1.26.2011;15;1414.38;66896,13;21555;15736;4;0
B;1.26.2011;16;226.69;66896,13;21555;15736;4;0
B;1.26.2011;17;978;66896,13;21555;15736;4;0
B;1.26.2011;18;1609.51;66896,13;21555;15736;4;0
B;1.26.2011;19;1300.5;66896,13;21555;15736;4;0
B;1.26.2011;20;884.28;66896,13;21555;15736;4;0
B;1.26.2011;21;460.27;66896,13;21555;15736;4;0
B;1.27.2011;10;0;67737,72;21578;15750;4;0
B;1.27.2011;11;133.03;67737,72;21578;15750;4;0
B;1.27.2011;12;1002.3;67737,72;21578;15750;4;0
B;1.27.2011;13;1336.13;67737,72;21578;15750;4;0
B;1.27.2011;14;978;67737,72;21578;15750;4;0
B;1.27.2011;15;1251.88;67737,72;21578;15750;4;0
B;1.27.2011;16;664.38;67737,72;21578;15750;4;0
B;1.27.2011;17;975.1;67737,72;21578;15750;4;0
B;1.27.2011;18;943.01;67737,72;21578;15750;4;0
B;1.27.2011;19;2023.83;67737,72;21578;15750;4;0
B;1.27.2011;20;1716.12;67737,72;21578;15750;4;0
B;1.27.2011;21;908.84;67737,72;21578;15750;4;0
B;1.28.2011;10;834.66;67736,59;21821;15909;6;0
B;1.28.2011;11;524.8;67736,59;21821;15909;6;0
B;1.28.2011;12;1218.5;67736,59;21821;15909;6;0
B;1.28.2011;13;542.88;67736,59;21821;15909;6;0
B;1.28.2011;14;1324.21;67736,59;21821;15909;6;0
B;1.28.2011;15;1127.51;67736,59;21821;15909;6;0
B;1.28.2011;16;3064.2;67736,59;21821;15909;6;0
B;1.28.2011;17;2415.7;67736,59;21821;15909;6;0
B;1.28.2011;18;911.25;67736,59;21821;15909;6;0
B;1.28.2011;19;987.71;67736,59;21821;15909;6;0
B;1.28.2011;20;1864.8;67736,59;21821;15909;6;0
B;1.28.2011;21;1420.22;67736,59;21821;15909;6;0
B;1.29.2011;10;235.14;67736,59;21821;15909;6;0
B;1.29.2011;11;508.1;67736,59;21821;15909;6;0
B;1.29.2011;12;1293.14;67736,59;21821;15909;6;0
B;1.29.2011;13;1239.75;67736,59;21821;15909;6;0
B;1.29.2011;14;2886.84;67736,59;21821;15909;6;0
B;1.29.2011;15;3342.88;67736,59;21821;15909;6;0
B;1.29.2011;16;3231.82;67736,59;21821;15909;6;0
B;1.29.2011;17;3335.11;67736,59;21821;15909;6;0
B;1.29.2011;18;1801.74;67736,59;21821;15909;6;0
B;1.29.2011;19;2924.36;67736,59;21821;15909;6;0
B;1.29.2011;20;1654.62;67736,59;21821;15909;6;0
B;1.29.2011;21;898.16;67736,59;21821;15909;6;0
B;1.30.2011;10;266.3;67736,59;21821;15909;3;0
B;1.30.2011;11;690.1;67736,59;21821;15909;3;0
B;1.30.2011;12;860.88;67736,59;21821;15909;3;0
B;1.30.2011;13;3318.27;67736,59;21821;15909;3;0
B;1.30.2011;14;3464.38;67736,59;21821;15909;3;0
B;1.30.2011;15;4333.49;67736,59;21821;15909;3;0
B;1.30.2011;16;4281.67;67736,59;21821;15909;3;0
B;1.30.2011;17;4038.21;67736,59;21821;15909;3;0
B;1.30.2011;18;3531.35;67736,59;21821;15909;3;0
B;1.30.2011;19;3976.47;67736,59;21821;15909;3;0
B;1.30.2011;20;1879.79;67736,59;21821;15909;3;0
B;1.30.2011;21;3341.43;67736,59;21821;15909;3;0
B;1.31.2011;10;321.96;67378,23;21947;16068;1;0
B;1.31.2011;11;913.29;67378,23;21947;16068;1;0
B;1.31.2011;12;1888.59;67378,23;21947;16068;1;0
B;1.31.2011;13;1692.05;67378,23;21947;16068;1;0
B;1.31.2011;14;4519.43;67378,23;21947;16068;1;0
B;1.31.2011;15;4352.47;67378,23;21947;16068;1;0
B;1.31.2011;16;4399.23;67378,23;21947;16068;1;0
B;1.31.2011;17;1282.2;67378,23;21947;16068;1;0
B;1.31.2011;18;2231.04;67378,23;21947;16068;1;0
B;1.31.2011;19;2029.7;67378,23;21947;16068;1;0
B;1.31.2011;20;2305.42;67378,23;21947;16068;1;0
B;1.31.2011;21;1726.86;67378,23;21947;16068;1;0
B;1.2.2011;10;0;68690,02;21834;15890;2;0
B;1.2.2011;11;618.54;68690,02;21834;15890;2;0
B;1.2.2011;12;539.15;68690,02;21834;15890;2;0
B;1.2.2011;13;749.64;68690,02;21834;15890;2;0
B;1.2.2011;14;1753.64;68690,02;21834;15890;2;0
B;1.2.2011;15;1261.15;68690,02;21834;15890;2;0
B;1.2.2011;16;1225.54;68690,02;21834;15890;2;0
B;1.2.2011;17;1101.99;68690,02;21834;15890;2;0
B;1.2.2011;18;1291.53;68690,02;21834;15890;2;0
B;1.2.2011;19;2668.44;68690,02;21834;15890;2;0
B;1.2.2011;20;1135.23;68690,02;21834;15890;2;0
B;1.2.2011;21;953.48;68690,02;21834;15890;2;0
B;2.2.2011;10;194.77;68367,48;21812;15783;2;0
B;2.2.2011;11;995.81;68367,48;21812;15783;2;0
B;2.2.2011;12;669.4;68367,48;21812;15783;2;0
B;2.2.2011;13;855.39;68367,48;21812;15783;2;0
B;2.2.2011;14;1597.84;68367,48;21812;15783;2;0
B;2.2.2011;15;2682.73;68367,48;21812;15783;2;0
B;2.2.2011;16;1624.57;68367,48;21812;15783;2;0
B;2.2.2011;17;1420.05;68367,48;21812;15783;2;0
B;2.2.2011;18;922.1;68367,48;21812;15783;2;0
B;2.2.2011;19;1231.03;68367,48;21812;15783;2;0
B;2.2.2011;20;883.61;68367,48;21812;15783;2;0
B;2.2.2011;21;852.05;68367,48;21812;15783;2;0
B;3.2.2011;10;0;67756,18;21816;15836;4;0
B;3.2.2011;11;615.1;67756,18;21816;15836;4;0
B;3.2.2011;12;1046.66;67756,18;21816;15836;4;0
B;3.2.2011;13;1875.51;67756,18;21816;15836;4;0
B;3.2.2011;14;1013.79;67756,18;21816;15836;4;0
B;3.2.2011;15;1788.87;67756,18;21816;15836;4;0
B;3.2.2011;16;2440.08;67756,18;21816;15836;4;0
B;3.2.2011;17;2250.68;67756,18;21816;15836;4;0
B;3.2.2011;18;1179.63;67756,18;21816;15836;4;0
B;3.2.2011;19;1476.06;67756,18;21816;15836;4;0
B;3.2.2011;20;1482.56;67756,18;21816;15836;4;0
B;3.2.2011;21;1230.92;67756,18;21816;15836;4;0
B;4.2.2011;10;0;67880,99;21821;16004;6;0
B;4.2.2011;11;310.39;67880,99;21821;16004;6;0
B;4.2.2011;12;1635.43;67880,99;21821;16004;6;0
B;4.2.2011;13;1783.65;67880,99;21821;16004;6;0
B;4.2.2011;14;2798.35;67880,99;21821;16004;6;0
B;4.2.2011;15;1935;67880,99;21821;16004;6;0
B;4.2.2011;16;2110.66;67880,99;21821;16004;6;0
B;4.2.2011;17;1851.82;67880,99;21821;16004;6;0
B;4.2.2011;18;953.23;67880,99;21821;16004;6;0
B;4.2.2011;19;2248.45;67880,99;21821;16004;6;0
B;4.2.2011;20;982.42;67880,99;21821;16004;6;0
B;4.2.2011;21;995.58;67880,99;21821;16004;6;0
B;5.2.2011;10;412.01;67880,99;21821;16004;4;0
B;5.2.2011;11;809.52;67880,99;21821;16004;4;0
B;5.2.2011;12;1124.29;67880,99;21821;16004;4;0
B;5.2.2011;13;2595.47;67880,99;21821;16004;4;0
B;5.2.2011;14;2686.51;67880,99;21821;16004;4;0
B;5.2.2011;15;2558.88;67880,99;21821;16004;4;0
B;5.2.2011;16;3721.82;67880,99;21821;16004;4;0
B;5.2.2011;17;4140.53;67880,99;21821;16004;4;0
B;5.2.2011;18;1751.79;67880,99;21821;16004;4;0
B;5.2.2011;19;2083.07;67880,99;21821;16004;4;0
B;5.2.2011;20;2263.26;67880,99;21821;16004;4;0
B;5.2.2011;21;1901.75;67880,99;21821;16004;4;0
B;6.2.2011;10;126.96;67880,99;21821;16004;9;0
B;6.2.2011;11;1467.03;67880,99;21821;16004;9;0
B;6.2.2011;12;1460.59;67880,99;21821;16004;9;0
B;6.2.2011;13;1731.76;67880,99;21821;16004;9;0
B;6.2.2011;14;2961.78;67880,99;21821;16004;9;0
B;6.2.2011;15;4317.23;67880,99;21821;16004;9;0
B;6.2.2011;16;5922.46;67880,99;21821;16004;9;0
